ts;vOutsideTemp;vSupplyTemp;vReturnTemp;
01.04.2021 00:00:00;10.5;40.2;30.7;
01.04.2021 01:00:00;9.6;39.6;35.7;
01.04.2021 02:00:00;8.9;42.4;38.4;
01.04.2021 03:00:00;8.3;42.5;37.5;
01.04.2021 04:00:00;7.8;44.4;40.8;
01.04.2021 05:00:00;7.2;48.8;43.2;
01.04.2021 06:00:00;6.6;55.4;47.5;
01.04.2021 07:00:00;6.4;59.2;48.0;
01.04.2021 08:00:00;11.8;44.2;44.0;
01.04.2021 09:00:00;12.9;50.0;37.8;
01.04.2021 10:00:00;14.0;52.2;42.4;
01.04.2021 11:00:00;17.8;57.3;52.7;
01.04.2021 12:00:00;21.2;49.3;50.1;
01.04.2021 13:00:00;20.6;54.9;54.7;
01.04.2021 14:00:00;22.1;54.6;53.2;
01.04.2021 15:00:00;21.5;60.7;43.2;
01.04.2021 16:00:00;21.1;51.0;50.5;
01.04.2021 17:00:00;20.3;55.7;53.3;
01.04.2021 18:00:00;19.3;58.3;49.1;
01.04.2021 19:00:00;19.2;51.5;51.1;
01.04.2021 20:00:00;16.9;41.2;39.2;
01.04.2021 21:00:00;15.3;38.7;37.9;
01.04.2021 22:00:00;14.3;41.1;38.2;
01.04.2021 23:00:00;12.9;43.0;30.1;
02.04.2021 00:00:00;11.6;40.9;35.7;
02.04.2021 01:00:00;10.6;43.1;39.2;
02.04.2021 02:00:00;8.9;41.9;36.6;
02.04.2021 03:00:00;7.4;45.1;40.6;
02.04.2021 04:00:00;6.4;59.1;41.9;
02.04.2021 05:00:00;6.5;50.5;39.5;
02.04.2021 06:00:00;6.1;57.2;44.3;
02.04.2021 07:00:00;7.1;47.5;45.0;
02.04.2021 08:00:00;8.4;53.1;51.0;
02.04.2021 09:00:00;9.3;43.3;40.2;
02.04.2021 10:00:00;9.0;45.7;42.8;
02.04.2021 11:00:00;9.1;42.8;37.6;
02.04.2021 12:00:00;10.6;38.0;35.6;
02.04.2021 13:00:00;11.0;37.7;39.2;
02.04.2021 14:00:00;10.5;40.3;38.4;
02.04.2021 15:00:00;10.0;44.9;40.8;
02.04.2021 16:00:00;10.4;40.3;41.0;
02.04.2021 17:00:00;9.8;51.3;38.5;
02.04.2021 18:00:00;9.6;43.8;41.9;
02.04.2021 19:00:00;8.5;45.8;45.5;
02.04.2021 20:00:00;7.8;49.0;44.1;
02.04.2021 21:00:00;6.4;56.7;54.7;
02.04.2021 22:00:00;6.3;55.9;56.3;
02.04.2021 23:00:00;6.7;48.7;38.5;
03.04.2021 00:00:00;6.5;42.1;41.8;
03.04.2021 01:00:00;6.1;49.9;39.3;
03.04.2021 02:00:00;4.9;63.0;45.5;
03.04.2021 03:00:00;3.9;50.3;39.3;
03.04.2021 04:00:00;5.2;48.3;39.7;
03.04.2021 05:00:00;4.7;50.7;39.7;
03.04.2021 06:00:00;4.7;50.0;50.3;
03.04.2021 07:00:00;4.4;54.4;47.0;
03.04.2021 08:00:00;4.2;58.5;44.6;
03.04.2021 09:00:00;5.4;51.4;50.4;
03.04.2021 10:00:00;6.8;57.6;47.7;
03.04.2021 11:00:00;8.1;54.0;47.8;
03.04.2021 12:00:00;9.4;54.8;37.0;
03.04.2021 13:00:00;9.8;44.3;47.1;
03.04.2021 14:00:00;6.7;55.6;42.3;
03.04.2021 15:00:00;9.4;47.8;48.6;
03.04.2021 16:00:00;8.7;51.5;45.3;
03.04.2021 17:00:00;7.6;57.2;47.0;
03.04.2021 18:00:00;7.6;59.8;47.1;
03.04.2021 19:00:00;7.1;51.5;51.4;
03.04.2021 20:00:00;5.9;52.4;44.9;
03.04.2021 21:00:00;4.8;54.5;48.5;
03.04.2021 22:00:00;4.9;58.3;50.3;
03.04.2021 23:00:00;4.3;47.4;44.0;
04.04.2021 00:00:00;3.7;52.8;48.6;
04.04.2021 01:00:00;3.3;47.3;48.6;
04.04.2021 02:00:00;2.3;51.6;52.6;
04.04.2021 03:00:00;1.4;55.1;46.7;
